time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-03-20T15:08:16.460Z,39.3938333,-110.267,-3.4,1.91,ml,12,212,0.05422,0.24,uu,uu60317252,2019-03-20T17:33:09.710Z,"21km SE of East Carbon City, Utah",earthquake,1.15,1.78,0.098,3,reviewed,uu,uu
2019-03-20T15:00:03.750Z,34.0058333,-116.8796667,14.54,1.33,ml,46,46,0.06648,0.14,ci,ci38278375,2019-03-20T18:06:08.130Z,"9km N of Banning, CA",earthquake,0.16,0.32,0.173,22,reviewed,ci,ci
2019-03-20T14:51:55.438Z,40.6533,-117.5608,7.7,3.5,ml,10,91.22,0.958,0.2497,nn,nn00680466,2019-03-20T16:52:35.086Z,"38km SSE of Winnemucca, Nevada",earthquake,,5.6,0.3,8,reviewed,nn,nn
2019-03-20T14:51:21.390Z,38.8076668,-122.8190002,2.82,2.25,md,30,53,0.008042,0.03,nc,nc73154591,2019-03-20T16:37:03.465Z,"6km WNW of The Geysers, CA",earthquake,0.18,0.36,0.15,12,automatic,nc,nc
2019-03-20T14:35:57.680Z,35.9453333,-117.8568333,2.21,0.77,ml,7,115,0.1089,0.36,ci,ci38278311,2019-03-20T14:39:45.952Z,"5km ENE of Little Lake, CA",earthquake,0.91,1.87,0.206,5,automatic,ci,ci
2019-03-20T14:25:02.790Z,36.076,-117.6753333,1.6,1.54,ml,14,170,0.08877,0.17,ci,ci38278271,2019-03-20T14:36:02.170Z,"25km E of Coso Junction, CA",earthquake,0.31,0.42,0.147,22,automatic,ci,ci
2019-03-20T14:00:01.480Z,18.4041,-66.5578,106,2.83,md,10,127,0.0782,0.25,pr,pr2019079007,2019-03-20T16:43:23.520Z,"2km SE of Bufalo, Puerto Rico",earthquake,1.89,1.19,0.27,6,reviewed,pr,pr
2019-03-20T13:48:36.030Z,38.8048325,-122.8236694,1.8,0.95,md,11,92,0.005896,0.04,nc,nc73154576,2019-03-20T15:30:04.081Z,"7km WNW of The Geysers, CA",earthquake,0.39,0.72,0.09,2,automatic,nc,nc
2019-03-20T13:29:42.310Z,46.9063333,-112.5266667,12.35,0.98,ml,10,122,0.101,0.2,mb,mb80338264,2019-03-20T14:06:56.700Z,"12km ESE of Lincoln, Montana",earthquake,0.62,0.84,0.148,2,reviewed,mb,mb
2019-03-20T13:22:42.680Z,-17.7451,-178.2145,494.76,4.7,mb,,78,3.419,1.25,us,us1000jj7r,2019-03-20T13:39:54.040Z,"294km ESE of Lambasa, Fiji",earthquake,11.6,8.2,0.032,293,reviewed,us,us
2019-03-20T13:18:52.610Z,36.0616667,-117.6858333,3.72,0.51,ml,7,158,0.07394,0.04,ci,ci38278119,2019-03-20T13:22:38.164Z,"24km E of Coso Junction, CA",earthquake,0.27,0.63,0.212,6,automatic,ci,ci
2019-03-20T13:18:01.690Z,38.7958336,-122.7381668,-0.8,0.57,md,6,175,0.03307,0.04,nc,nc73154571,2019-03-20T15:04:02.920Z,"3km NE of The Geysers, CA",earthquake,0.79,6.28,,1,automatic,nc,nc
2019-03-20T13:16:46.390Z,38.7873333,-122.765,0.7,1.78,md,41,45,0.0166,0.05,nc,nc73154566,2019-03-20T18:24:53.582Z,"1km NNW of The Geysers, CA",earthquake,0.11,0.27,0.228,17,reviewed,nc,nc
2019-03-20T13:07:35.380Z,33.3226667,-116.4011667,6.13,1.1,ml,35,106,0.05595,0.16,ci,ci38278095,2019-03-20T13:11:16.124Z,"8km NNW of Borrego Springs, CA",earthquake,0.28,0.75,0.154,26,automatic,ci,ci
2019-03-20T13:03:40.970Z,36.0698333,-117.6803333,0.84,1,ml,10,90,0.08197,0.15,ci,ci38278079,2019-03-20T13:07:11.949Z,"24km E of Coso Junction, CA",earthquake,0.31,0.61,0.155,13,automatic,ci,ci
2019-03-20T12:57:39.740Z,36.0726667,-117.6791667,0.75,0.66,ml,9,91,0.08432,0.13,ci,ci38278063,2019-03-20T13:19:00.973Z,"24km E of Coso Junction, CA",earthquake,0.35,0.55,0.168,6,reviewed,ci,ci
2019-03-20T12:53:31.790Z,36.0676667,-117.682,1.88,1.04,ml,11,89,0.07967,0.12,ci,ci38278055,2019-03-20T13:19:32.527Z,"24km E of Coso Junction, CA",earthquake,0.29,0.4,0.227,10,reviewed,ci,ci
2019-03-20T12:53:22.780Z,38.816,-122.7563333,1.9,0.2,md,13,99,0.01793,0.03,nc,nc73154556,2019-03-20T18:14:12.497Z,"3km WSW of Cobb, CA",earthquake,0.36,0.51,0.083,2,reviewed,nc,nc
2019-03-20T12:42:34.060Z,36.0718333,-117.6768333,0.71,0.79,ml,10,90,0.08544,0.13,ci,ci38278039,2019-03-20T13:19:35.357Z,"25km E of Coso Junction, CA",earthquake,0.32,0.54,0.185,7,reviewed,ci,ci
2019-03-20T12:28:09.945Z,60.5336,-151.6877,69.2,1.5,ml,,,,0.36,ak,ak0193murn3v,2019-03-20T12:38:46.054Z,"23km W of Kenai, Alaska",earthquake,,1.2,,,automatic,ak,ak
2019-03-20T12:18:01.370Z,19.9693336,-155.4838409,28.48,2.79,ml,61,163,,0.18,hv,hv70874617,2019-03-20T12:51:49.179Z,"12km S of Honoka'a, Hawaii",earthquake,0.53,0.88,4.23,21,automatic,hv,hv
2019-03-20T12:15:48.707Z,64.1448,-148.8958,3.5,0.9,ml,,,,0.45,ak,ak0193muoxrq,2019-03-20T12:18:51.914Z,"32km N of Healy, Alaska",earthquake,,0.6,,,automatic,ak,ak
