time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-03-15T05:03:50.080Z,-17.8571,-65.8913,358.34,6.3,mww,,23,2.65,1.04,us,us1000jg5z,2019-03-16T05:06:04.456Z,"28km S of Cliza, Bolivia",earthquake,7.8,6,0.051,37,reviewed,us,us
2019-03-13T10:55:13.370Z,19.3258333,-155.2005,6.97,5.54,ml,75,88,,0.12,hv,hv70863117,2019-03-19T18:26:25.956Z,"12km SSE of Volcano, Hawaii",earthquake,0.21,0.22,0.194,36,reviewed,hv,hv
2019-03-12T13:08:57.170Z,17.93,-66.1798,13,4.6,ml,21,210,0.0811,0.47,pr,pr2019071006,2019-03-17T03:06:12.787Z,"13km S of Jobos, Puerto Rico",earthquake,2.13,1.31,0.28,15,reviewed,pr,pr
2019-03-06T15:46:14.900Z,-32.0238,-177.8845,29,6.4,mww,,29,7.868,0.92,us,us1000jb8d,2019-03-19T00:55:58.607Z,"116km SE of L'Esperance Rock, New Zealand",earthquake,10.1,1.8,0.039,64,reviewed,us,us
2019-03-05T20:56:02.390Z,36.2955,-83.7356667,17.07,3.37,md,33,37,0.1815,0.11,se,se60233907,2019-03-14T17:23:24.599Z,"7km NE of Maynardville, Tennessee",earthquake,0.32,0.46,0.195,31,reviewed,se,se
2019-03-04T17:22:51.740Z,38.2803333,-108.911,0.76,4.49,mw,11,95,0.03542,0.18,uu,uu60315157,2019-03-10T04:09:13.792Z,"57km N of Dove Creek, Colorado",earthquake,0.48,0.9,,21,reviewed,uu,uu
2019-03-01T08:50:41.530Z,-14.6844,-70.1267,257.42,7,mww,,44,2.499,1,us,us1000j96d,2019-03-19T12:35:34.806Z,"27km NNE of Azangaro, Peru",earthquake,8.1,5.9,0.05,38,reviewed,us,us
2019-02-26T09:51:34.320Z,33.893,-118.0883333,12.06,3.14,ml,144,18,0.04515,0.25,ci,ci38474368,2019-03-20T08:16:26.191Z,"2km SSW of Norwalk, CA",earthquake,0.14,0.38,0.191,301,reviewed,ci,ci
2019-02-22T10:17:22.410Z,-2.199,-77.0231,132.36,7.5,mww,,37,2.073,1.3,us,us2000jlfv,2019-03-14T18:54:58.487Z,"115km ESE of Palora, Ecuador",earthquake,7.1,4.9,0.056,31,reviewed,us,us
